model,rouge1_f,rouge2_f,rougeL_f
pager_summary_ns5_bw0.0_pw0.6_l0.8_pgNone_modNone_umFalse,0.17805800000000002,0.04153400000000002,0.10724000000000004
pager_summary_ns5_bw0.6_pw0.6_l0.8_pg10_modNone_umFalse,0.17805800000000002,0.04153400000000002,0.10724000000000004
pager_summary_ns5_bw0.6_pw0.0_l0.2_pg10_modNone_umFalse,0.17805800000000002,0.04153400000000002,0.10724000000000004
pager_summary_ns5_bw0.0_pw0.6_l0.8_pg10_modNone_umFalse,0.17805800000000002,0.04153400000000002,0.10724000000000004
pager_summary_ns5_bw0.0_pw0.0_l0.2_pgNone_modNone_umFalse,0.17805800000000002,0.04153400000000002,0.10724000000000004
pager_summary_ns5_bw0.0_pw0.0_l0.8_pgNone_modNone_umFalse,0.17805800000000002,0.04153400000000002,0.10724000000000004
pager_summary_ns5_bw0.6_pw0.6_l0.8_pgNone_modYes_umFalse,0.17742,0.041239999999999964,0.10636599999999995
pager_summary_ns5_bw0.0_pw0.0_l0.2_pgNone_modYes_umFalse,0.17742,0.041239999999999964,0.10636599999999995
pager_summary_ns5_bw0.0_pw0.0_l0.2_pg10_modYes_umFalse,0.17742,0.041239999999999964,0.10636599999999995
pager_summary_ns5_bw0.6_pw0.6_l0.2_pg10_modYes_umFalse,0.17742,0.041239999999999964,0.10636599999999995
pager_summary_ns5_bw0.0_pw0.0_l0.8_pg10_modYes_umFalse,0.17742,0.041239999999999964,0.10636599999999995
pager_summary_ns5_bw0.0_pw0.0_l0.8_pgNone_modYes_umFalse,0.17742,0.041239999999999964,0.10636599999999995
pager_summary_ns5_bw0.6_pw0.6_l0.2_pgNone_modYes_umFalse,0.17742,0.041239999999999964,0.10636599999999995
pager_summary_ns5_bw0.0_pw0.6_l0.8_pg10_modYes_umFalse,0.17742,0.041239999999999964,0.10636599999999995
pager_summary_ns5_bw0.6_pw0.0_l0.8_pg10_modYes_umFalse,0.17742,0.041239999999999964,0.10636599999999995
pager_summary_ns5_bw0.0_pw0.6_l0.2_pgNone_modYes_umFalse,0.17742,0.041239999999999964,0.10636599999999995
pager_summary_ns5_bw0.6_pw0.0_l0.8_pgNone_modYes_umFalse,0.17742,0.041239999999999964,0.10636599999999995
pager_summary_ns5_bw0.0_pw0.6_l0.2_pg10_modYes_umFalse,0.17742,0.041239999999999964,0.10636599999999995
pager_summary_ns5_bw0.6_pw0.0_l0.2_pg10_modYes_umFalse,0.17742,0.041239999999999964,0.10636599999999995
pager_summary_ns5_bw0.0_pw0.6_l0.8_pgNone_modYes_umFalse,0.17742,0.041239999999999964,0.10636599999999995
pager_summary_ns5_bw0.6_pw0.0_l0.2_pgNone_modYes_umFalse,0.17742,0.041239999999999964,0.10636599999999995
pager_summary_ns5_bw0.6_pw0.6_l0.8_pg10_modYes_umFalse,0.17742,0.041239999999999964,0.10636599999999995
